artist,country,releaseyear
Something for Kate,Australia,2006
The Herd,Australia,2006
The Living End,Australia,2006
Wolfmother,Australia,2006
Sarah Blasko,Australia,2006
Hot Chip,UK,2006
Foo Fighters,USA,2006
Justice Vs Simian,France,2006
Something With Numbers,Australia,2006
Bloc Party,UK,2006
Darren Hanlon,Australia,2006
Beck,USA,2006
Ben Folds,USA,2006
Jet,Australia,2006
Matisyahu,USA,2006
Ben Kweller,USA,2006
Freestylers/Pendulum,Australia,2006
Butterfingers,Australia,2006
Thom Yorke,UK,2006
Infadels,UK,2006
Kanye West,USA,2006
Ben Harper,USA,2006
Pendulum,Australia,2006
Jurassic 5,USA,2006
Panic! at the Disco,USA,2006
Red Riders,Australia,2006
Pearl Jam,USA,2006
The Gossip,USA,2006
Audioslave,USA,2006
Blue King Brown,Australia,2006
Smashing Pumpkins,USA,1995
Presidents of the U.S.A.,USA,1995
Everclear,USA,1995
Custard,Australia,1995
Nick Cave & The Bad Seeds and Kylie Minogue,Australia,1995
TISM,Australia,1995
Mindless Drug Hoover,UK,1995
Jeff Buckley,USA,1995
Garbage,UK,1995
Regurgitator,Australia,1995
Jill Sobule,USA,1995
Tripping Daisy,USA,1995
Red Hot Chili Peppers,USA,1995
Live,USA,1995
Passengers,Ireland,1995
You Am I,Australia,1995
Insurge,Australia,1995
Neil Young,Canada,1995
Ammonia,Australia,1995
Faith No More,USA,1995
Natalie Merchant,USA,1995
Rancid,USA,1995
Swoop,Australia,1995
Bush,UK,1995
Pearl Jam,USA,1995
Tricky,UK,1995
Foo Fighters,USA,1995
Alanis Morissette,Canada,1995
Skunk Anansie,UK,1995
Sonic Youth,USA,1995
Spiderbait,Australia,1995
Portishead,UK,1995
Green Day,USA,1995
Christine Anu,Australia,1995
Technohead,UK,1995
White Zombie,USA,1995
Buffalo Tom,USA,1995
Def FX,Australia,1995
The Murmurs,USA,1995
Blur,UK,1995
The Vaughans,Australia,1995
Skunkhour,Australia,1995
Phunk Junkeez,USA,1995
U2,Ireland,1995
Pollyanna,Australia,1995
Screaming Jets,Australia,1995
The Offspring,USA,1995
Shaggy,Jamaica,1995
The Tea Party,Canada,1995
Chris Isaak,USA,1995
Rail,Australia,1995
The Cure,UK,1995
Grinspoon,Australia,1995
Bad Religion,USA,1995
Severed Heads,Australia,1995
Strawpeople,New Zealand,1995
Supergrass,UK,1995
Mr Blonde,Australia,1995
Bjork,Iceland,1995
TLC,USA,1995
Yothu Yindi,Australia,1995
Alice in Chains,USA,1995
Matthew Sweet,USA,1995
Massive Attack,UK,1995
Tumbleweed,Australia,1995
Pop!,Australia,1995
Hecate,Australia,1995
U2,Ireland,2000
Wheatus,USA,2000
The Avalanches,Australia,2000
Red Hot Chili Peppers,USA,2000
Foo Fighters,USA,2000
Paul Kelly,Australia,2000
Dandy Warhols,USA,2000
28 Days,Australia,2000
Magic Dirt,Australia,2000
Rage Against the Machine,USA,2000
Green Day,USA,2000
Lo-Tel,Australia,2000
Machine Gun Fellatio,Australia,2000
The Superjesus,Australia,2000
The Living End,Australia,2000
Bodyjar,Australia,2000
Limp Bizkit,USA,2000
Moby,USA,2000
You Am I,Australia,2000
Bomfunk MCs,Finland,2000
Shihad,New Zealand,2000
George,Australia,2000
Stone Temple Pilots,USA,2000
Jebediah,Australia,2000
Travis,UK,2000
Grinspoon,Australia,2000
A Perfect Circle,USA,2000
Cypress Hill,USA,2000
The Whitlams,Australia,2000
Gomez,UK,2000
Placebo,UK,2000
Papa Roach,USA,2000
Millencolin,Sweden,2000
Radiohead,UK,2000
Fatboy Slim,UK,2000
Moloko,UK,2000
Filter,USA,2000
Regurgitator,Australia,2000
Skulker,Australia,2000
The Offspring,USA,2000
The Hippos,USA,2000
Blink-182,USA,2000
R.E.M.,USA,2000
Friendly,Australia,2000
Groove Armada,UK,2000
The Fauves,Australia,2000
Something for Kate,Australia,2000
Fiona Apple,USA,2000
Everlast,USA,2000
Motor Ace,Australia,2000
OPM,USA,2000
MxPx,USA,2000
Killing Heidi,Australia,2000
Tex Perkins,Australia,2000
Groove Terminator,Australia,2000
Slipknot,USA,2000
NOFX,USA,2000
The Smashing Pumpkins,USA,2000
Metallica,USA,2000
Korn,USA,2000
Muse,UK,2000
Skunkhour,Australia,2000
Pearl Jam,USA,2000
Klinger,Australia,2000
Madonna,USA,2000
Brassy,UK,2000
PJ Harvey,UK,2000
Area-7,Australia,2000
Reef,UK,2000
Silverchair,Australia,2000
Madison Avenue,Australia,2000
Jet,Australia,2003
OutKast,USA,2003
Powderfinger,Australia,2003
Coldplay,UK,2003
The Cat Empire,Australia,2003
The John Butler Trio,Australia,2003
Something for Kate,Australia,2003
The Waifs,Australia,2003
The Dandy Warhols,USA,2003
Butterfingers,Australia,2003
Little Birdy,Australia,2003
Jack Johnson,USA,2003
Ben Harper,USA,2003
Pete Murray,Australia,2003
Epicure,Australia,2003
Red Hot Chili Peppers,USA,2003
Electric Six,USA,2003
Placebo,UK,2003
Muse,UK,2003
Michael Franti and Spearhead,USA,2003
Magic Dirt,Australia,2003
Alex Lloyd,Australia,2003
The Beautiful Girls,Australia,2003
The Strokes,USA,2003
A Perfect Circle,USA,2003
The Herd,Australia,2003
Radiohead,UK,2003
The Bens,Australia,2003
Blink-182,USA,2003
Xavier Rudd,Australia,2003
Missy Higgins,Australia,2003
NOFX,USA,2003
Missy Elliott,USA,2003
AFI,USA,2003
Gus and Frank,Australia,2003
Metallica,USA,2003
Belle and Sebastian,UK,2003
Andromeda,Australia,2003
The Living End,Australia,2003
Amiel,Australia,2003
The Butterfly Effect,Australia,2003
Cody ChesnuTT,USA,2003
The Roots,USA,2003
Kelis,USA,2003
Benny Benassi Presents The Biz,Italy,2003
The Chemical Brothers,UK,2003
Basement Jaxx,UK,2003
Junior Senior,Denmark,2003
Machine Gun Fellatio,Australia,2003
Offcutts,Australia,2003
The Sleepy Jackson,Australia,2003
Gyroscope,Australia,2003
Soggy Bottom Boys,USA,2003
The Darkness,UK,2003
Blur,UK,2003
The Mars Volta,USA,2003
Powderfinger,Australia,1999
Killing Heidi,Australia,1999
The Tenants,Australia,1999
Fatboy Slim,UK,1999
Bloodhound Gang,USA,1999
Rage Against The Machine,USA,1999
Limp Bizkit,USA,1999
Pearl Jam,USA,1999
Red Hot Chili Peppers,USA,1999
The Foo Fighters,USA,1999
Garbage,USA,1999
Korn,USA,1999
Sonic Animation,Australia,1999
Jebediah,Australia,1999
Rhubarb,Australia,1999
Alex Lloyd,Australia,1999
Macy Gray,USA,1999
Frenzal Rhomb,Australia,1999
The Chemical Brothers,UK,1999
Silverchair,Australia,1999
Blink-182,USA,1999
The Tea Party,Canada,1999
Grinspoon,Australia,1999
Peter Helliar,Australia,1999
Bodyjar,Australia,1999
The Whitlams,Australia,1999
Eskimo Joe,Australia,1999
Spiderbait,Australia,1999
The Living End,Australia,1999
Custard,Australia,1999
Something For Kate,Australia,1999
Gerling,Australia,1999
Bush,UK,1999
Blur,UK,1999
Area-7,Australia,1999
The Fauves,Australia,1999
Ben Folds Five,USA,1999
Beck,USA,1999
Diana Ah Naid,Australia,1999
Metallica,USA,1999
Regurgitator,Australia,1999
Machine Gun Fellatio,Australia,1999
VAST,USA,1999
Augie March,Australia,1999
Jamiroquai,UK,1999
Ben Harper,USA,1999
Testeagles,Australia,1999
Madonna,USA,1999
Nine Inch Nails,USA,1999
The Mutton Birds,New Zealand,1999
Supergrass,UK,1999
Deadstar,Australia,1999
Friendly,Australia,1999
Bob Marley/Funkstar De Luxe,Jamaica,1999
The Cardigans,Sweden,1999
Moby,UK,1999
Moloko,UK,1999
Ben Lee,Australia,1999
Skunkhour,Australia,1999
Orgy,USA,1999
Green Day,USA,1999
Rammstein,Germany,1999
Pennywise,USA,1999
Elliott Smith,USA,1999
Turnstyle,Australia,1999
Public Image Ltd.,UK,1999
Sugar Ray,USA,1999
Bernard Fanning,Australia,2005
Ben Lee,Australia,2005
Gorillaz,UK,2005
Foo Fighters,USA,2005
The White Stripes,USA,2005
End of Fashion,Australia,2005
Wolfmother,Australia,2005
Franz Ferdinand,UK,2005
Datarock,Norway,2005
Kanye West,USA,2005
Sarah Blasko,Australia,2005
The Herd,Australia,2005
Josh Pyke,Australia,2005
Faker,Australia,2005
The Bloodhound Gang,USA,2005
The Cat Empire,Australia,2005
Coldplay,UK,2005
System of a Down,USA,2005
Kaiser Chiefs,UK,2005
Gyroscope,Australia,2005
After The Fall,Australia,2005
Missy Higgins,Australia,2005
Cog,Australia,2005
The Butterfly Effect,Australia,2005
Beck,USA,2005
Grinspoon,Australia,2005
Lior,Australia,2005
Emiliana Torrini,Iceland,2005
The Strokes,USA,2005
The Bravery,USA,2005
Arctic Monkeys,UK,2005
Audioslave,USA,2005
DVDA (from Team America: World Police),USA,2005
Ben Folds,USA,2005
Queens of the Stone Age,USA,2005
Martha Wainwright,USA,2005
The Dandy Warhols,USA,2005
Green Day,USA,2005
Clare Bowditch,Australia,2005
Jack Johnson,USA,2005
Ween,USA,2005
The Beautiful Girls,Australia,2005
Butterfingers,Australia,2005
The Mountain Goats,USA,2005
Bright Eyes,USA,2005
Babyshambles,UK,2005
The Chemical Brothers,UK,2005
Scissor Sisters,USA,2005
Epicure,Australia,2005
Xavier Rudd,Australia,2005
Kisschasy,Australia,2005
Little Birdy,Australia,2005
Karnivool,Australia,2005
Garbage,USA,2005
The Wrights,Australia,2005
The Cranberries,Ireland,1994
The Offspring,USA,1994
Veruca Salt,USA,1994
Nirvana,USA,1994
Max Sharam,Australia,1994
Tom Jones,UK,1994
Severed Heads,Australia,1994
Nick Cave & The Bad Seeds,Australia,1994
James,UK,1994
Bomb The Bass,UK,1994
The Cruel Sea,Australia,1994
Sheryl Crow,USA,1994
Stone Temple Pilots,USA,1994
Green Day,USA,1994
Nick Barker,Australia,1994
Itch-E and Scratch-E,Australia,1994
Soundgarden,USA,1994
Smashing Pumpkins,USA,1994
Live,USA,1994
Hole,USA,1994
Beck,USA,1994
Kylie Minogue,Australia,1994
Single Gun Theory,Australia,1994
Mazzy Star,USA,1994
Liz Phair,USA,1994
Tori Amos,USA,1994
The Prodigy,UK,1994
Dave Pike Set,USA,1994
Weezer,USA,1994
Kristin Hersh,USA,1994
Pet Shop Boys,UK,1994
Christine Anu,Australia,1994
The Grid,UK,1994
Counting Crows,USA,1994
Falling Joys,Australia,1994
Tumbleweed,Australia,1994
Penny Flanagan,Australia,1994
Ed Kuepper,Australia,1994
Frente!,Australia,1994
The Cure,UK,1994
The Jesus and Mary Chain,UK,1994
Pavement,USA,1994
Gin Blossoms,USA,1994
Pale,Australia,1994
Blur,UK,1994
The Black Crowes,USA,1994
Sonic Youth,USA,1994
Whale,Sweden,1994
L7,USA,1994
Dinosaur Jr.,USA,1994
Crash Test Dummies,Canada,1994
Urge Overkill,USA,1994
Lucas,Denmark,1994
The Sharp,Australia,1994
Swoop,Australia,1994
Francis Dunnery,UK,1994
Cracker,USA,1994
Alice in Chains,USA,1994
Sisters Underground,New Zealand,1994
Neil Young,Canada,1994
Love Spit Love,USA,1994
The Breeders,USA,1994
G Love & Special Sauce,USA,1994
Morrissey,UK,1994
Warren G & Nate Dogg,USA,1994
Collective Soul,USA,1994
Things of Stone and Wood,Australia,1994
Page and Plant,UK,1994
Def FX,Australia,1994
Ini Kamoze,Jamaica,1994
The Tea Party,Canada,1994
Angelique Kidjo,Benin,1994
Lisa Loeb & Nine Stories,USA,1994
Boys Next Door,Australia,1979
Aretha Franklin,USA,1967
Art Of Noise and Tom Jones,UK,1988
Machinations,Australia,1981
The Saints,Australia,1978
Talking Heads,USA,1977
The Damned,UK,1979
Iggy Pop,USA,1977
Enya,Ireland,1988
Womack & Womack,USA,1988
Sex Pistols,UK,1977
Echo & The Bunnymen,UK,1983
Television,USA,1977
The Sunnyboys,Australia,1981
Midnight Oil,Australia,1980
Art Of Noise,UK,1983
Elvis Costello,UK,1978
The Go-Betweens,Australia,1984
Propaganda,Germany,1985
The Jam,UK,1980
Derek And The Dominos,USA,1970
The Saints,Australia,1984
Warumpi Band,Australia,1987
Cocteau Twins,UK,1988
XTC,UK,1979
The Stranglers,UK,1981
Talking Heads,USA,1983
Grandmaster Flash,USA,1982
The Jam,UK,1978
Midnight Oil,Australia,1982
Daddy Cool,Australia,1971
Elvis Presley,USA,1969
Aretha Franklin,USA,1968
Lime Spiders,Australia,1984
Blondie,USA,1978
Cold Chisel,Australia,1978
Laurie Anderson,USA,1981
Do-Re-Mi,Australia,1985
Outline,Australia,1980
Baby Bird,UK,1996
Fun Lovin' Criminals,USA,1996
Beck,USA,1996
The Lemonheads,USA,1996
Rebecca's Empire,Australia,1996
Def FX,Australia,1996
Frente!,Australia,1996
Deadstar,Australia,1996
Midnight Oil,Australia,1996
The Mavis's,Australia,1996
Matthew Trapnell,Australia,1996
Jane's Addiction,USA,1990
Guns N' Roses,USA,1987
Ratcat,Australia,1990
Sinead O'Connor,Ireland,1987
Ned's Atomic Dustbin,UK,1991
The B-52's,USA,1978
Dramarama,USA,1985
Nirvana,USA,2002
Darren Hanlon,Australia,2002
Jurassic 5,USA,2002
Black Rebel Motorcycle Club,USA,2002
Sonic Animation,Australia,2002
The Fergusons,Australia,2002
Spiderbait,Australia,2002
Jamie T,UK,2009
Metric,Canada,2009
Weezer,USA,2009
Calvin Harris,UK,2009
Jet,Australia,2009
Manchester Orchestra,USA,2009
Guns N' Roses,USA,1988
Crowded House,Australia,1986
Cloud Control,Australia,2010
Sparkadia,Australia,2010
Gyroscope,Australia,2010
4 Non Blondes,USA,1993
The Cure,UK,1993
Ween,USA,1993
Dave Graney 'n' the Coral Snakes,Australia,1993
You Am I,Australia,1993
Sub Sub,UK,1993
Blink-182,USA,1998
Run-D.M.C. vs Jason Nevins,USA,1998
Pauline Pantsdown,Australia,1998
The Mavis's,Australia,1998
Ben Harper,USA,1998
Sarah Blasko,Australia,2004
The Living End,Australia,2004
The Von Bondies,USA,2004
The Spazzys,Australia,2004
Fabienne Delsol,France,2004
The Sundays,UK,1989
Sinead O'Connor,Ireland,1990
The B-52's,USA,1989
Depeche Mode,UK,1981
Smash Mouth,USA,1997
Quindon Tarver/Lee Perry,USA,1997
The Mavis's,Australia,1997
Ammonia,Australia,1997
Filter And The Crystal Method,USA,1997
Chemical Brothers,UK,1997
Live,USA,1997
Dave Graney,Australia,1997
Blackeyed Susans,Australia,1997
Rebecca's Empire,Australia,1997
Faithless,UK,1997
Basement Jaxx,UK,2001
Ben Harper,USA,2001
PJ Harvey/Thom Yorke,UK,2001
The Whitlams,Australia,2001
They Might Be Giants,USA,2001
Lazaro's Dog,Australia,2001
Soko,France,2007
The Panics,Australia,2007
The Wombats,UK,2007
Ben Folds,USA,2008
British India,Australia,2008
Ida Maria,Norway,2008
Band of Horses,USA,2008
Black Kids,USA,2008
Dukes of Windsor,Australia,2008
Scissor Sisters,USA,2006
Eagles of Death Metal,USA,2006
Coolio,USA,1995
Dave Graney 'n' The Coral Snakes,Australia,1995
Primus,USA,1995
Teenage Fanclub,UK,1995
Rebecca's Empire,Australia,1995
N-Trance,UK,1995
Dash Rip Rock,USA,1995
The Caulfields,USA,1995
Todd Snider,USA,1995
The Eels,USA,2000
Spiller,Italy,2000
Sinead O'Connor,Ireland,2000
Frenzal Rhomb,Australia,2000
Morcheeba,UK,2000
Frenzal Rhomb,Australia,2003
Ben Folds,USA,2003
Jane's Addiction,USA,2003
Gerling,Australia,2003
Chicks On Speed,Germany,2003
Madison Avenue,Australia,1999
The Cruel Sea,Australia,1999
Everlast,USA,1999
The Offspring,USA,1999
The Living End,Australia,2005
Architecture in Helsinki,Australia,2005
The Bedroom Philosopher,Australia,2005
Underground Lovers,Australia,1994
Youssou N'dour & Neneh Cherry,Senegal,1994
Rebecca's Empire,Australia,1994
Pop Will Eat Itself,UK,1994
R.E.M.,USA,1994
PM Dawn,USA,1994
Dave Graney 'n' the Coral Snakes,Australia,1994
The Cure,UK,1979
The Saints,Australia,1976
Gotye,Australia,2011
The Black Keys,USA,2011
Matt Corby,Australia,2011
Boy & Bear,Australia,2011
M83,France,2011
Lana Del Rey,USA,2011
San Cisco,Australia,2011
360,Australia,2011
The Jezabels,Australia,2011
Hilltop Hoods,Australia,2011
Calvin Harris,UK,2011
Architecture in Helsinki,Australia,2011
Florence and the Machine,UK,2011
Foster the People,USA,2011
Grouplove,USA,2011
Seeker Lover Keeper,Australia,2011
The Wombats,UK,2011
Nero,UK,2011
Bluejuice,Australia,2011
Skrillex,USA,2011
Snakadaktal,Australia,2011
Emma Louise,Australia,2011
Kimbra,New Zealand,2011
Example,UK,2011
Owl Eyes,Australia,2011
Drapht,Australia,2011
Ball Park Music,Australia,2011
Noah & the Whale,UK,2011
Jay-Z & Kanye West,USA,2011
Illy,Australia,2011
Benny Benassi,Italy,2011
Foster The People,USA,2011
The Strokes,USA,2011
Hermitude,Australia,2011
The Kooks,UK,2011
Active Child,USA,2011
Sparkadia,Australia,2011
Art vs. Science,Australia,2011
The Drums,USA,2011
Bon Iver,USA,2011
The Grates,Australia,2011
Architecture In Helsinki,Australia,2011
The Rubens,Australia,2011
Lykke Li,Sweden,2011
Washington,Australia,2011
Joe Goddard,UK,2011
Radiohead,UK,2011
Stonefield,Australia,2011
Foo Fighters,USA,2011
Kasabian,UK,2011
New Navy,Australia,2011
Arctic Monkeys,UK,2011
Jebediah,Australia,2011
Luke Million,Australia,2011
Flight Facilities,Australia,2011
Example & Skream,UK,2011
Redcoats,Australia,2011
Metronomy,UK,2011
Husky,Australia,2011
SBTRKT,UK,2011
Pnau,Australia,2011
Busby Marou,Australia,2011
Little Dragon,Sweden,2011
The Kills,UK,2011
Cosmo Jarvis,UK,2011
Bombay Bicycle Club,UK,2011
Beirut,USA,2011
Beastie Boys,USA,2011
City and Colour,Canada,2011
James Blake,UK,2011
The Beards,Australia,2011
Mr Little Jeans,Norway,2011
Powderfinger,Australia,NA
Silverchair,Australia,NA
AC/DC,Australia,NA
The Living End,Australia,NA
INXS,Australia,NA
The Presets,Australia,NA
Wolfmother,Australia,NA
The Avalanches,Australia,NA
Regurgitator,Australia,NA
Gotye,Australia,NA
Grinspoon,Australia,NA
Crowded House,Australia,NA
Jebediah,Australia,NA
Hilltop Hoods,Australia,NA
The Whitlams,Australia,NA
Tame Impala,Australia,NA
The Temper Trap,Australia,NA
Midnight Oil,Australia,NA
The John Butler Trio,Australia,NA
Jet,Australia,NA
You Am I,Australia,NA
The Cat Empire,Australia,NA
Missy Higgins,Australia,NA
Karnivool,Australia,NA
Angus & Julia Stone,Australia,NA
Birds of Tokyo,Australia,NA
Josh Pyke,Australia,NA
Cut Copy,Australia,NA
The Vines,Australia,NA
Something for Kate,Australia,NA
Cold Chisel,Australia,NA
Empire of the Sun,Australia,NA
Eskimo Joe,Australia,NA
Spiderbait,Australia,NA
John Farnham,Australia,NA
Cog,Australia,NA
Washington,Australia,NA
Nick Cave & The Bad Seeds,Australia,NA
Bernard Fanning,Australia,NA
Cloud Control,Australia,NA
The Cruel Sea,Australia,NA
Sarah Blasko,Australia,NA
Sia,Australia,NA
Pendulum,Australia,NA
The Panics,Australia,NA
george,Australia,NA
Bliss n Eso,Australia,NA
Art vs. Science,Australia,NA
Paul Kelly and The Coloured Girls,Australia,NA
Skyhooks,Australia,NA
Hunters & Collectors,Australia,NA
The Sleepy Jackson,Australia,NA
The Grates,Australia,NA
The Saints,Australia,NA
Pete Murray,Australia,NA
The Waifs,Australia,NA
Lisa Mitchell,Australia,NA
The Go-Betweens,Australia,NA
Dead Letter Circus,Australia,NA
The Butterfly Effect,Australia,NA
Pnau,Australia,NA
Children Collide,Australia,NA
Gypsy & The Cat,Australia,NA
Frenzal Rhomb,Australia,NA
Augie March,Australia,NA
Paul Dempsey,Australia,NA
Hoodoo Gurus,Australia,NA
Machine Gun Fellatio,Australia,NA
U2,Ireland,1992
Marilyn Manson,USA,1996
Rage Against The Machine,USA,1992
U2,Ireland,1987
Beastie Boys,USA,1987
R.E.M.,USA,1992
Deee-Lite,USA,1990
Nirvana,USA,1992
The Eagles,USA,1977
Hunters & Collectors,Australia,1992
The Cure,USA,1980
The Buggles,UK,1979
Blind Melon,USA,1992
Jebediah,Australia,1996
Prodigy,UK,1996
Beck,USA,1993
Macklemore & Ryan Lewis,USA,2012
Of Monsters And Men,Iceland,2012
alt-J,UK,2012
Flume,Australia,2012
Mumford & Sons,UK,2012
Major Lazer,USA,2012
Tame Impala,Australia,2012
Frank Ocean,USA,2012
The Rubens,Australia,2012
Calvin Harris,UK,2012
The Black Keys,USA,2012
Icona Pop,Sweden,2012
Rudimental,UK,2012
Flight Facilities,Australia,2012
Hermitude,Australia,2012
The xx,UK,2012
Disclosure,UK,2012
The Temper Trap,Australia,2012
Ball Park Music,Australia,2012
Chet Faker,Australia,2012
Skrillex,USA,2012
Seth Sentry,Australia,2012
Django Django,UK,2012
Loon Lake,Australia,2012
Bat For Lashes,UK,2012
Alpine,Australia,2012
Florence + The Machine,UK,2012
Parachute Youth,Australia,2012
Lana Del Rey,USA,2012
360,Australia,2012
Miike Snow,Sweden,2012
Two Door Cinema Club,UK,2012
Grimes,Canada,2012
Alabama Shakes,USA,2012
Arctic Monkeys,UK,2012
British India,Australia,2012
MS MR,USA,2012
The Lumineers,USA,2012
Xavier Rudd,Australia,2012
Chance Waters,Australia,2012
Passion Pit,USA,2012
San Cisco,Australia,2012
Thundamentals,Australia,2012
Asta,Australia,2012
Birds Of Tokyo,Australia,2012
The Presets,Australia,2012
The Bamboos,Australia,2012
Knife Party,Australia,2012
Cosmo Jarvis,UK,2012
Jack White,USA,2012
Sticky Fingers,Australia,2012
Kid Cudi,USA,2012
First Aid Kit,Sweden,2012
Avicii,Sweden,2012
Matt Corby,Australia,2012
Kendrick Lamar,USA,2012
Regina Spektor,USA,2012
Ben Folds Five,USA,2012
The Shins,USA,2012
Muse,UK,2012
Illy,Australia,2012
Feed Me & Crystal Fighters,UK,2012
Totally Enormous Extinct Dinosaurs,UK,2012
Santigold,USA,2012
The Jungle Giants,Australia,2012
Hilltop Hoods,Australia,2012
Purity Ring,Canada,2012
The Bloody Beetroots & Greta Svabo Bech,Italy,2012
C2C,France,2012
Allday x C1,Australia,2012
Lisa Mitchell,Australia,2012
Snakadaktal,Australia,2012
The Gaslight Anthem,USA,2012
Last Dinosaurs,Australia,2012
"Kanye West, JAY Z & Big Sean",USA,2012
Kimbra,New Zealand,2012
M.I.A.,UK,2012
Everything Everything,UK,2012
blink-182,Australia,1997
System Of A Down,USA,2001
The Cranberries,UK,1994
The Temper Trap,Australia,2008
Florence + the Machine,UK,2009
Kings Of Leon,USA,2008
Bloc Party,UK,2004
Edward Sharpe & The Magnetic Zeros,USA,2009
Rage Against The Machine,USA,1996
The Kooks,UK,2006
Something For Kate,Australia,2001
TV On The Radio,USA,2006
Foster The People,USA,2010
M.I.A.,UK,2007
Vance Joy,Australia,2013
Lorde,New Zealand,2013
Daft Punk,France,2013
Arctic Monkeys,UK,2013
Flume & Chet Faker,Australia,2013
Lana Del Rey,USA,2013
Matt Corby,Australia,2013
The Preatures,Australia,2013
London Grammar,UK,2013
HAIM,USA,2013
James Blake,UK,2013
Violent Soho,Australia,2013
Arcade Fire,Canada,2013
The Kite String Tangle,Australia,2013
Kanye West,USA,2013
RUFUS,Australia,2013
Birds Of Tokyo,Australia,2013
Disclosure,UK,2013
Rudimental,UK,2013
The Wombats,UK,2013
Vampire Weekend,USA,2013
Chvrches,UK,2013
Foals,UK,2013
Empire Of The Sun,Australia,2013
Thundamentals,Australia,2013
Grouplove,USA,2013
Bloc Party,UK,2013
Touch Sensitive,Australia,2013
San Cisco,Australia,2013
The Amity Affliction,Australia,2013
Boy & Bear,Australia,2013
Max Frost,USA,2013
Childish Gambino,USA,2013
Dustin Tebbutt,Australia,2013
Robert Delong,USA,2013
Queens Of The Stone Age,USA,2013
Flight Facilities,Australia,2013
John Newman,UK,2013
Fatboy Slim & Riva Starr,UK,2013
Cloud Control,Australia,2013
Kingswood,Australia,2013
Andy Bull,Australia,2013
Goldroom,USA,2013
The National,USA,2013
Chet Faker,Australia,2013
Illy,Australia,2013
Bliss N Eso,Australia,2013
Something For Kate,Australia,2013
Sticky Fingers,Australia,2013
Two Door Cinema Club,UK,2013
Busta Rhymes,USA,2013
Major Lazer,USA,2013
Mikhael Paskalev,Norway,2013
SAFIA,Australia,2013
MS MR,USA,2013
A$AP Rocky,USA,2013
Panama,Australia,2013
The Jezabels,Australia,2013
British India,Australia,2013
Remi,Australia,2013
Bring Me The Horizon,UK,2013
John Butler Trio,Australia,2013
Josh Pyke,Australia,2013
The Cat Empire,Australia,2013
St Lucia,USA,2013
Big Scary,Australia,2013
Horrorshow,Australia,2013
Dillon Francis,USA,2013
Karnivool,Australia,2013
Chet Faker,Australia,2014
Peking Duk,Australia,2014
Hilltop Hoods,Australia,2014
Milky Chance,Germany,2014
Mark Ronson,UK,2014
Sia,Australia,2014
Asgeir,Iceland,2014
ZHU,USA,2014
Glass Animals,UK,2014
Vance Joy,Australia,2014
alt-J,UK,2014
The Kite String Tangle,Australia,2014
Illy,Australia,2014
Lorde,New Zealand,2014
Ball Park Music,Australia,2014
Sticky Fingers,Australia,2014
The Amity Affliction,Australia,2014
Future Islands,USA,2014
Meg Mac,Australia,2014
Bluejuice,Australia,2014
Banks,USA,2014
The Griswolds,Australia,2014
The Preatures,Australia,2014
Thundamentals,Australia,2014
Childish Gambino,USA,2014
Lana Del Rey,USA,2014
San Cisco,Australia,2014
SBTRKT,UK,2014
Allday,Australia,2014
Alison Wonderland,Australia,2014
First Aid Kit,Sweden,2014
Flight Facilities,Australia,2014
